date,original,interannual,interdecadal
1945-05-01,-0.572,-0.33640787551827334,-0.23559214216550545
1945-06-01,-0.563,-0.3286271628961963,-0.2343728506758828
1945-07-01,-0.524,-0.29071418122067383,-0.23328582805392656
1945-08-01,-0.656,-0.42367143927601114,-0.23232856552731976
1945-09-01,-0.594,-0.36250210549790174,-0.2314978946735714
1945-10-01,-0.513,-0.28220999038735994,-0.23079000500607244
1945-11-01,-0.324,-0.09379952604787048,-0.23020046443692527
1945-12-01,-0.328,-0.0982757429279322,-0.2297242425343693
1946-01-01,0.068,0.297355756137292,-0.22935573648109442
1946-02-01,-0.014,0.21508882448038932,-0.2290887996286073
1946-03-01,-0.226,0.00291680263662758,-0.2289167725321147
1946-04-01,-0.557,-0.3281674482663732,-0.2288325163401361
1946-05-01,0.297,0.5258284891001999,-0.22882844840328323
1946-06-01,-0.33,-0.10110337405045727,-0.2288965799573764
1946-07-01,-0.159,0.07002860698318389,-0.22902855572733272
1946-08-01,0.165,0.39421575175400414,-0.22921569529009797
1946-09-01,-0.072,0.1574490976190032,-0.22944903602733324
1946-10-01,-0.178,0.051719444105617955,-0.229719377491647
1946-11-01,-0.026,0.20401739850913836,-0.23001732700391486
1946-12-01,-0.25,-0.01966657746678213,-0.2303333462936931
1947-01-01,-0.288,-0.057342120219310275,-0.23065779898993702
1947-02-01,0.029,0.25998108389789143,-0.23098099876521855
1947-03-01,0.0,0.23129334717247066,-0.23129325793342345
1947-04-01,-0.186,0.04558502938226679,-0.23158493629852533
1947-05-01,0.104,0.33584658669133804,-0.2318464900504979
1947-06-01,-0.066,0.16606862038852568,-0.23206852050376098
1947-07-01,-0.633,-0.4007580747358574,-0.23224182247375624
1947-08-01,-0.659,-0.426642462578523,-0.2323574320883316
1947-09-01,-0.97,-0.7375932186782578,-0.23240667383256816
1947-10-01,-0.824,-0.5916186841360924,-0.23238120662849293
1947-11-01,-0.319,-0.08672682069548265,-0.23227306875476883
1947-12-01,-0.265,-0.03292516717296712,-0.23207472141590765
1948-01-01,-0.298,-0.06622079742453241,-0.23177909077577313
1948-02-01,-0.155,0.07637971997303356,-0.23137960827608947
1948-03-01,0.024,0.25487036015313513,-0.2308702490672987
1948-04-01,-0.103,0.12724567833731443,-0.2302455683863726
1948-05-01,-0.085,0.14450084400260926,-0.2295007357240421
1948-06-01,0.059,0.28763167268919376,-0.22863156663231043
1948-07-01,-0.268,-0.04036534469192192,-0.22763455203203284
1948-08-01,-0.462,-0.2354930151819591,-0.22650688488973594
1948-09-01,-0.648,-0.4227534198491958,-0.22524648414267945
1948-10-01,-0.292,-0.06814789272632621,-0.22385201576139477
1948-11-01,-0.379,-0.1566770027105093,-0.2223229108495349
1948-12-01,-0.506,-0.28534053851535407,-0.22065938069180158
1949-01-01,0.027,0.24586250324716413,-0.21886242867194186
1949-02-01,0.177,0.3939339267883291,-0.2169338589942925
1949-03-01,-0.121,0.09387634261302644,-0.2148762821540586
1949-04-01,0.165,0.37769316969590117,-0.21269311711341346
1949-05-01,-0.091,0.11938863433247432,-0.21038859015256373
1949-06-01,-0.009,0.19896776564654142,-0.20796773037712019
1949-07-01,-0.009,0.19643638774751693,-0.20543636187541786
1949-08-01,0.011,0.21380110854374282,-0.20280109253182144
1949-09-01,-0.09,0.11006930523026548,-0.20006929951450914
1949-10-01,-0.124,0.07324910648206837,-0.19724911146872873
1949-11-01,-0.396,-0.20165062860372374,-0.19434938745903751
1949-12-01,-0.331,-0.13962033476065533,-0.19137969271654545
1950-01-01,-0.044,0.14435023206772135,-0.18835027125964005
1950-02-01,-0.554,-0.36872803569717005,-0.18527201546905034
1950-03-01,-0.692,-0.5098436306465185,-0.18215643271035548
1950-04-01,-0.475,-0.29598446660910405,-0.17901560910910938
1950-05-01,-0.309,-0.13313791760667526,-0.1758621705955838
1950-06-01,-0.494,-0.32129085941119384,-0.1727092413476599
1950-07-01,-0.348,-0.17842971356425114,-0.16957039977156024
1950-08-01,-0.22,-0.05354049370823624,-0.16645963217083629
