,PC1,PC2
1972-11-16 11:59:00,1254.3399999673272,-1618.391068203107
1972-12-16 11:59:00,4275.721586175586,-778.9465374627387
1973-01-16 11:59:00,5326.066702316677,649.2836829695779
1973-02-16 11:59:00,5643.6314153963785,794.3091728186092
1973-03-16 11:59:00,5592.5806525093585,516.1230863599869
1973-04-16 11:59:00,5080.8250043826865,660.8135162163709
1973-05-16 11:59:00,4125.5985007232575,490.306159174313
1973-06-16 11:59:00,4003.41690174772,-932.1782770705047
1973-07-16 11:59:00,-586.2649621514247,-4647.58575527161
1973-08-16 11:59:00,918.9103369567589,-3859.298884507296
1973-09-16 11:59:00,-322.1529070798645,-4188.643575026678
1973-10-16 11:59:00,-69.77876098873543,-3385.3586820793394
1973-11-16 11:59:00,4278.725940439191,-633.0722405286832
1973-12-16 11:59:00,5544.934259126441,152.1935860479411
1974-01-16 11:59:00,6069.864327021059,1642.0150229686228
1974-02-16 11:59:00,6500.724769142106,1789.8880493731249
1974-03-16 11:59:00,4761.053388522422,322.971462063904
1974-04-16 11:59:00,4845.68796028251,490.1740092969148
1974-05-16 11:59:00,4129.93449434389,314.73768940516106
1974-06-16 11:59:00,3896.503872252457,-1364.318988186349
1974-07-16 11:59:00,-250.71632793894446,-4408.351875080144
1974-08-16 11:59:00,237.97338753150564,-4179.561329882189
1974-09-16 11:59:00,-439.15530087688046,-4298.199455891351
1974-10-16 11:59:00,-207.565136357355,-3718.3584879619184
1974-11-16 11:59:00,1457.0695679089042,-1517.978621540523
1974-12-16 11:59:00,4576.5071144806225,-90.95227996703998
1975-01-16 11:59:00,5165.101901419171,599.382338300146
1975-02-16 11:59:00,5208.406181443855,542.9151750059856
1975-03-16 11:59:00,5089.97999090232,162.72435120115955
1975-04-16 11:59:00,4807.607962651945,97.30617018716798
1975-05-16 11:59:00,4298.045796450927,168.7350068381916
1975-06-16 11:59:00,3788.6052458005797,-1654.500236129227
1975-07-16 11:59:00,552.6316045465032,-3642.458852652387
1975-08-16 11:59:00,1056.7398893025584,-3268.5223674950894
1975-09-16 11:59:00,-85.88734326747665,-3823.6515466942005
1975-10-16 11:59:00,-401.82419360781387,-3472.5117708411713
1975-11-16 11:59:00,1350.1049967841984,-1160.9187012595494
1975-12-16 11:59:00,4212.258533923994,186.7975813207726
1976-01-16 11:59:00,4741.058789856133,635.8267818654505
1976-02-16 11:59:00,5181.003602690792,951.7853745893757
1976-03-16 11:59:00,4655.82907336453,693.5350800277046
1976-04-16 11:59:00,4705.586723066438,166.70946887949407
1976-05-16 11:59:00,4123.354911563057,-529.5270503321248
1976-06-16 11:59:00,3763.4975642249155,-1927.7210699594732
1976-07-16 11:59:00,-1316.3781091758447,-5132.467588388355
1976-08-16 11:59:00,-359.88610838654506,-4421.285261286268
1976-09-16 11:59:00,-613.5480096765365,-4287.641632094198
1976-10-16 11:59:00,56.26652736424416,-3511.0377643497773
1976-11-16 11:59:00,1503.7638111234949,-1644.6036927281698
1976-12-16 11:59:00,5083.630416834948,-367.031252915485
1977-01-16 11:59:00,5186.885243743006,354.63016046657816
1977-02-16 11:59:00,5337.155107508071,595.8074024221117
1977-03-16 11:59:00,5385.445059920315,593.6852591604891
1977-04-16 11:59:00,5071.166221246722,8.49562044750277
1977-05-16 11:59:00,4308.036961719424,-786.8481517107859
1977-06-16 11:59:00,4069.169585337896,-1890.280031576611
1977-07-16 11:59:00,-287.87254961520165,-4727.572400358751
1977-08-16 11:59:00,173.72047317068763,-4308.270728834168
1977-09-16 11:59:00,-474.9845842260721,-4277.674722104364
1977-10-16 11:59:00,459.6738848299984,-3180.336464229588
1977-11-16 11:59:00,1085.56603566395,-1257.446911121883
1977-12-16 11:59:00,4460.891663159655,-42.37930752943714
1978-01-16 11:59:00,5534.918183844391,371.70682579465705
1978-02-16 11:59:00,5513.154784003793,362.114789412825
1978-03-16 11:59:00,5423.527401721019,263.48083039520264
1978-04-16 11:59:00,4931.639385364974,389.80285956594776
1978-05-16 11:59:00,3914.973346268118,727.5126778874356
1978-06-16 11:59:00,3817.935548383008,-1878.403459192366
1978-07-16 11:59:00,-988.6613340906708,-5072.644137888574
1978-08-16 11:59:00,-150.05510846110613,-4278.934436620592
1978-09-16 11:59:00,-754.9507731347792,-4391.09896831732
1978-10-16 11:59:00,118.18031437480268,-3045.6692357181696
1978-11-16 11:59:00,3454.5214913788636,3103.615285395388
1978-12-16 11:59:00,3088.5278709065437,2185.3382219586415
1979-01-16 11:59:00,3207.605818578261,2828.7366988018316
1979-02-16 11:59:00,3278.5079110026077,1976.5840641596978
1979-03-16 11:59:00,3955.6635159236594,2072.5415276195063
1979-04-16 11:59:00,1051.781681551476,1285.8541680753806
1979-05-16 11:59:00,-3008.4883197110507,-39.97370533528278
1979-06-16 11:59:00,-1191.8956186799637,4619.319286309948
1979-07-16 11:59:00,-1630.192216570163,6741.60071604109
1979-08-16 11:59:00,307.57471716580477,-28.197588076465113
1979-09-16 11:59:00,533.4625859168511,6460.766741085985
1979-10-16 11:59:00,439.3693737641939,3231.134290262437
1979-11-16 11:59:00,2979.6928501792654,4284.401206260579
1979-12-16 11:59:00,17.671791734505277,3847.0822028208377
1980-01-16 11:59:00,2340.827709133412,1912.5068788598462
1980-02-16 11:59:00,2579.427366803316,1673.5109977445366
1980-03-16 11:59:00,741.7678766398727,1181.5679808785908
1980-04-16 11:59:00,-1266.1325968177678,-1016.5053265351028
1980-05-16 11:59:00,-3889.9790544296416,-2197.9696420139
1980-06-16 11:59:00,2092.88878523723,2568.9520563088663
1980-07-16 11:59:00,1342.6138994053656,3089.3612491394842
1980-08-16 11:59:00,1258.9840732313241,1379.3109734978814
1980-09-16 11:59:00,917.8739290398986,4055.9109323811617
1980-10-16 11:59:00,600.1642026898945,6725.105540889033
1980-11-16 11:59:00,2491.467676379246,1940.2549082200062
1980-12-16 11:59:00,3664.941936222923,1935.8236517569999
1981-01-16 11:59:00,2655.71035339785,1405.8175575315406
1981-02-16 11:59:00,3784.8223505211563,1024.7082811443906
1981-03-16 11:59:00,2918.575706658506,1116.858900573955
1981-04-16 11:59:00,388.4053429811931,-10.79188403108505
1981-05-16 11:59:00,-1.1331945206577743,230.97517096918975
1981-06-16 11:59:00,579.7964352252268,2032.0845029718287
1981-07-16 11:59:00,1127.6410455241162,3615.9882754489363
1981-08-16 11:59:00,-9.575310402643975,5890.612552153611
1981-09-16 11:59:00,373.031500017129,4944.191750833597
1981-10-16 11:59:00,7.4468235074815246,7431.254083184896
1981-11-16 11:59:00,2433.78980168878,1729.4249783948567
1981-12-16 11:59:00,2396.00362259124,512.3229597564635
1982-01-16 11:59:00,3409.328310527368,374.3226267096181
1982-02-16 11:59:00,1794.9139360673973,60.04922929264498
1982-03-16 11:59:00,150.14005813361592,227.49066369961616
1982-04-16 11:59:00,-1393.9919248600506,1091.6338124198944
1982-05-16 11:59:00,-5877.361497654957,-438.1737579414533
1982-06-16 11:59:00,-8079.1419538024265,-1294.1315377733765
1982-07-16 11:59:00,769.3128972219396,2997.395634449887
1982-08-16 11:59:00,82.42289616316364,4912.201816530663
1982-09-16 11:59:00,1157.810507387029,2660.166219269397
1982-10-16 11:59:00,964.2714908279149,4271.481355087631
1982-11-16 11:59:00,995.1940225520023,2671.4871948079935
1982-12-16 11:59:00,2431.212933112099,1528.2011220538188
1983-01-16 11:59:00,2275.544915455805,3249.932834207648
1983-02-16 11:59:00,2472.613509193455,2139.973250487253
