Date,ENSO,ENSO_filtered,IOD,IOD_filtered,PDO,PDO_filtered,IPO,IPO_filtered
1943-12-01,-0.42,-0.05024793388429752,-0.386,-0.280305785123967,1.512,0.37962809917355367,-0.545,0.05180165289256198
1944-01-01,-0.42,-0.047520661157024795,-0.154,-0.27561157024793387,1.255,0.35460330578512395,-0.308,0.05146280991735538
1944-02-01,0.16,-0.039834710743801655,0.247,-0.2731157024793388,0.224,0.3282148760330578,-0.091,0.05108264462809918
1944-03-01,-0.21,-0.03652892561983471,-0.177,-0.2758429752066116,-0.24,0.3183223140495867,-0.328,0.05049586776859504
1944-04-01,0.11,-0.027933884297520663,-0.241,-0.2746528925619835,-0.442,0.31368595041322317,0.038,0.055264462809917356
1944-05-01,0.14,-0.02628099173553719,0.283,-0.27320661157024795,-1.175,0.30615702479338847,-0.363,0.0539504132231405
1944-06-01,0.04,-0.03016528925619834,-0.114,-0.2704958677685951,-1.658,0.29847933884297523,-0.165,0.04942975206611571
1944-07-01,0.08,-0.033801652892561984,0.053,-0.26909917355371904,-1.116,0.29043801652892565,-0.012,0.0443801652892562
1944-08-01,0.0,-0.03851239669421488,0.051,-0.2656611570247934,-0.457,0.2879256198347107,-0.27,0.03814876033057852
1944-09-01,-0.31,-0.044380165289256195,0.001,-0.262603305785124,-1.116,0.2849669421487603,-0.31,0.029347107438016537
1944-10-01,-0.22,-0.05388429752066116,-0.6,-0.26127272727272727,-0.88,0.279396694214876,-0.432,0.01824793388429752
1944-11-01,-0.35,-0.06099173553719008,-0.249,-0.26297520661157026,-0.382,0.2813057851239669,-0.409,0.01147933884297521
1944-12-01,-0.26,-0.07355371900826446,0.179,-0.2630743801652893,-0.349,0.2815537190082644,-0.562,0.0005785123966942172
1945-01-01,-0.36,-0.08264462809917356,-0.14,-0.2625619834710744,0.05,0.2610826446280991,-0.696,-0.011512396694214872
1945-02-01,-0.47,-0.10479338842975207,0.09,-0.267801652892562,-0.025,0.2336859504132231,-0.462,-0.03380991735537189
1945-03-01,-0.79,-0.12504132231404957,0.205,-0.2716694214876033,0.247,0.21090082644628097,-1.046,-0.056016528925619834
1945-04-01,-0.76,-0.14239669421487602,-0.33,-0.2716528925619835,-0.026,0.18448760330578512,-0.76,-0.075801652892562
1945-05-01,-0.46,-0.1597520661157025,-0.572,-0.2701404958677686,-0.06,0.14682644628099173,-0.346,-0.09589256198347107
1945-06-01,-0.59,-0.1696694214876033,-0.563,-0.2704297520661157,0.402,0.11557851239669421,-0.424,-0.11171074380165288
1945-07-01,-0.61,-0.18314049586776857,-0.524,-0.2730743801652893,0.762,0.0749090909090909,-0.369,-0.1330909090909091
1945-08-01,-0.84,-0.19008264462809918,-0.656,-0.2718842975206611,0.207,0.04331404958677684,-0.5,-0.14434710743801654
1945-09-01,-0.82,-0.20537190082644627,-0.594,-0.2750082644628099,0.214,0.017595041322314032,-0.495,-0.1619669421487603
1945-10-01,-0.86,-0.21264462809917356,-0.513,-0.2766611570247934,0.15,-0.006132231404958698,-0.656,-0.17482644628099173
1945-11-01,-0.42,-0.22669421487603306,-0.324,-0.2746363636363636,-0.841,-0.027190082644628123,-0.471,-0.19463636363636366
1945-12-01,-0.54,-0.24107438016528923,-0.328,-0.2720413223140496,-1.488,-0.04771074380165292,-0.682,-0.21180991735537189
1946-01-01,-0.44,-0.261900826446281,0.068,-0.26732231404958673,-0.93,-0.07438842975206612,-0.628,-0.23372727272727273
1946-02-01,-0.24,-0.2794214876033058,-0.014,-0.26258677685950416,0.506,-0.10516528925619836,-0.457,-0.25374380165289256
1946-03-01,-0.36,-0.29685950413223144,-0.226,-0.2553305785123967,0.704,-0.13871900826446285,-0.361,-0.2746776859504132
1946-04-01,-0.48,-0.30991735537190085,-0.557,-0.25741322314049586,0.72,-0.16578512396694217,-0.324,-0.2925041322314049
1946-05-01,-0.39,-0.3219834710743802,0.297,-0.2562644628099173,-0.132,-0.19111570247933887,-0.456,-0.3084793388429751
1946-06-01,0.15,-0.3336363636363636,-0.33,-0.25561157024793385,-0.386,-0.21900000000000003,-0.12,-0.3232066115702479
1946-07-01,0.03,-0.3354545454545455,-0.159,-0.2543223140495868,0.347,-0.24204132231404957,-0.104,-0.32740495867768593
1946-08-01,-0.52,-0.3340495867768595,0.165,-0.24975206611570247,0.158,-0.27525619834710746,0.061,-0.3344214876033058
1946-09-01,-0.19,-0.3350413223140496,-0.072,-0.2463305785123967,0.249,-0.3027851239669421,0.166,-0.34148760330578515
1946-10-01,-0.01,-0.3341322314049587,-0.178,-0.24496694214876036,-0.603,-0.3206694214876033,-0.311,-0.34617355371900826
1946-11-01,-0.18,-0.3358677685950413,-0.026,-0.24238842975206612,-1.237,-0.33390082644628105,0.11,-0.34890909090909095
1946-12-01,0.03,-0.3396694214876033,-0.25,-0.24525619834710743,-1.428,-0.35838016528925626,0.358,-0.35502479338842974
1947-01-01,0.39,-0.3469421487603305,-0.288,-0.24432231404958676,0.023,-0.3922892561983471,0.444,-0.3640330578512396
1947-02-01,-0.13,-0.35,0.029,-0.24205785123966944,0.461,-0.4195371900826447,0.243,-0.37041322314049585
1947-03-01,0.28,-0.3540495867768595,0.0,-0.23855371900826444,0.705,-0.4460495867768595,0.759,-0.37385123966942146
1947-04-01,-0.07,-0.3527272727272727,-0.186,-0.23588429752066115,0.464,-0.4681487603305785,0.042,-0.3762809917355372
1947-05-01,-0.55,-0.3605785123966942,0.104,-0.2337190082644628,-0.005,-0.48942148760330584,-0.25,-0.3818595041322314
1947-06-01,0.07,-0.3652066115702479,-0.066,-0.22860330578512394,0.951,-0.509909090909091,0.594,-0.3874380165289256
1947-07-01,-0.39,-0.3657851239669421,-0.633,-0.22435537190082644,0.736,-0.5304132231404959,-0.023,-0.39019008264462807
1947-08-01,-0.37,-0.3647107438016529,-0.659,-0.2224214876033058,0.8,-0.5440165289256199,-0.223,-0.3906611570247934
1947-09-01,-1.05,-0.35966942148760334,-0.97,-0.21834710743801652,0.575,-0.5567107438016529,-0.282,-0.38755371900826446
1947-10-01,-0.82,-0.3503305785123967,-0.824,-0.2150413223140496,1.415,-0.5635785123966942,-0.264,-0.3821404958677686
1947-11-01,-0.73,-0.34206611570247936,-0.319,-0.21159504132231408,0.673,-0.5686611570247934,-0.492,-0.378297520661157
1947-12-01,0.18,-0.33421487603305783,-0.265,-0.206900826446281,0.159,-0.5728016528925621,0.392,-0.3732809917355372
1948-01-01,0.05,-0.32099173553719007,-0.298,-0.19976859504132233,0.117,-0.5663057851239669,0.288,-0.36316528925619834
1948-02-01,0.37,-0.30909090909090914,-0.155,-0.19336363636363638,-0.23,-0.556801652892562,0.213,-0.3545867768595041
1948-03-01,0.63,-0.2975206611570248,0.024,-0.1897603305785124,-0.884,-0.5586198347107438,0.287,-0.3478842975206612
1948-04-01,0.25,-0.28206611570247936,-0.103,-0.18768595041322314,-0.733,-0.5650991735537191,-0.019,-0.338900826446281
1948-05-01,0.31,-0.27421487603305783,-0.085,-0.18321487603305786,-1.298,-0.5756694214876033,0.031,-0.3346776859504132
1948-06-01,0.06,-0.26785123966942154,0.059,-0.18259504132231405,-0.029,-0.5819090909090909,0.085,-0.3296446280991735
1948-07-01,-0.06,-0.26528925619834715,-0.268,-0.18531404958677689,0.012,-0.5775867768595041,-0.031,-0.32589256198347105
1948-08-01,-0.02,-0.2642148760330578,-0.462,-0.1880082644628099,-0.516,-0.5803388429752067,-0.375,-0.323595041322314
1948-09-01,-0.02,-0.2590909090909091,-0.648,-0.1902809917355372,-0.768,-0.5748181818181818,-0.369,-0.3176528925619835
1948-10-01,-0.68,-0.256198347107438,-0.292,-0.18750413223140494,-1.391,-0.5731570247933884,-0.68,-0.31520661157024793
1948-11-01,-0.3,-0.25,-0.379,-0.18419834710743802,-0.744,-0.5653057851239669,-0.127,-0.3125454545454545
1948-12-01,0.38,-0.24462809917355371,-0.506,-0.18197520661157027,-1.795,-0.5633140495867769,0.134,-0.30916528925619835
1949-01-01,-0.46,-0.23793388429752066,0.027,-0.18158677685950414,-2.345,-0.582206611570248,-0.581,-0.30508264462809914
1949-02-01,0.26,-0.23272727272727273,0.177,-0.18255371900826448,-2.615,-0.5975785123966942,-0.212,-0.30391735537190084
1949-03-01,-0.55,-0.23396694214876032,-0.121,-0.18593388429752067,-1.447,-0.6054793388429752,-0.651,-0.3050661157024793
